Original;;;;;What skills are needed, according to your opinion, to reach the SDG?;Some description to give more context
Afrikaans;af;;;;;
Albanian;sq;;;;;
Amharic;am;;;;;
Arabic;ar;;;;;
Armenian;hy;;;;;
Assamese;as;;;;;
Aymara;ay;;;;;
Azerbaijani;az;;;;;
Bambara;bm;;;;;
Basque;eu;;;;;
Belarusian;be;;;;;
Bengali;bn;;;;;
Bhojpuri;bho;;;;;
Bosnian;bs;;;;;
Bulgarian;bg;BG;Bulgarian;FALSE;Какви умения са необходими, според вас, за постигане на ЦУР?;Няколко описания за повече контекст
Catalan;ca;;;;;
Cebuano;ceb;;;;;
Chinese (Simplified);zh;ZH;Chinese (simplified);FALSE;在您看来，要实现可持续发展目标，需要哪些技能？;一些描述以提供更多的背景
Chinese (Traditional);zh-TW;;;;;
Corsican;co;;;;;
Croatian;hr;;;;;
Czech;cs;CS;Czech;FALSE;Jaké dovednosti jsou podle vás potřebné k dosažení cílů udržitelného rozvoje?;Nějaký popis, abyste získali více souvislostí
Danish;da;DA;Danish;FALSE;Hvilke kompetencer er der efter din mening brug for for at nå SDG'erne?;En beskrivelse for at give en bedre sammenhæng
Dhivehi;dv;;;;;
Dogri;doi;;;;;
Dutch;nl;NL;Dutch;TRUE;Welke vaardigheden zijn volgens u nodig om de SDG te bereiken?;Een beschrijving om meer context te geven
Esperanto;eo;;;;;
Estonian;et;ET;Estonian;FALSE;Milliseid oskusi on teie arvates vaja säästva arengu eesmärkide saavutamiseks?;Mõningane kirjeldus, et anda rohkem konteksti
Ewe;ee;;;;;
Filipino (Tagalog);fil;;;;;
Finnish;fi;FI;Finnish;FALSE;Mitä taitoja tarvitaan mielestäsi SDG:n saavuttamiseksi?;Joitakin kuvauksia asiayhteyden lisäämiseksi
French;fr;FR;French;TRUE;Quelles sont les compétences nécessaires, selon vous, pour atteindre les ODD ?;Quelques descriptions pour situer le contexte
Frisian;fy;;;;;
Galician;gl;;;;;
Georgian;ka;;;;;
German;de;DE;German;TRUE;Welche Fähigkeiten werden Ihrer Meinung nach benötigt, um die SDGs zu erreichen?;Einige Beschreibungen für einen besseren Kontext
Greek;el;EL;Greek;FALSE;"Ποιες δεξιότητες απαιτούνται, κατά τη γνώμη σας, για την επίτευξη των ΣΒΑ;";Κάποια περιγραφή για να δώσετε περισσότερο πλαίσιο
Guarani;gn;;;;;
Gujarati;gu;;;;;
Haitian Creole;ht;;;;;
Hausa;ha;;;;;
Hawaiian;haw;;;;;
Hebrew;he ;;;;;
Hindi;hi;;;;;
Hmong;hmn;;;;;
Hungarian;hu;HU;Hungarian;FALSE;Ön szerint milyen készségekre van szükség a fenntartható fejlődési célok eléréséhez?;Néhány leírás a kontextus bővítése érdekében
Icelandic;is;;;;;
Igbo;ig;;;;;
Ilocano;ilo;;;;;
Indonesian;id;ID;Indonesian;FALSE;Menurut Anda, keterampilan apa yang dibutuhkan untuk mencapai SDG?;Beberapa deskripsi untuk memberikan lebih banyak konteks
Irish;ga;;;;;
Italian;it;IT;Italian;TRUE;Quali competenze sono necessarie, secondo lei, per raggiungere gli SDG?;Alcune descrizioni per fornire un contesto più ampio
Japanese;ja;JA;Japenese;FALSE;SDGsを達成するために、あなたの意見では、どのようなスキルが必要ですか？;より多くの文脈を与えるためのいくつかの説明
Javanese;jv;;;;;
Kannada;kn;;;;;
Kazakh;kk;;;;;
Khmer;km;;;;;
Kinyarwanda;rw;;;;;
Konkani;gom;;;;;
