Google Language,Google Languge Code,Deepl Language Code,Deepl Language Name,Deepl Formality Support,Question,Description
Original,,,,,"What skills are needed, according to your opinion, to reach the SDG?",Some description to give more context
Afrikaans,af,,,,,
Albanian,sq,,,,,
Amharic,am,,,,,
Arabic,ar,,,,,
Armenian,hy,,,,,
Assamese,as,,,,,
Aymara,ay,,,,,
Azerbaijani,az,,,,,
Bambara,bm,,,,,
Basque,eu,,,,,
Belarusian,be,,,,,
Bengali,bn,,,,,
Bhojpuri,bho,,,,,
Bosnian,bs,,,,,
Bulgarian,bg,BG,Bulgarian,FALSE,,
Catalan,ca,,,,,
Cebuano,ceb,,,,,
Chinese (Simplified),zh,ZH,Chinese (simplified),FALSE,,
Chinese (Traditional),zh-TW,,,,,
Corsican,co,,,,,
Croatian,hr,,,,,
Czech,cs,CS,Czech,FALSE,,
Danish,da,DA,Danish,FALSE,,
Dhivehi,dv,,,,,
Dogri,doi,,,,,
Dutch,nl,NL,Dutch,TRUE,,
,,EN-GB,English (British),FALSE,,
English,en,EN-US,English (American),FALSE,,
Esperanto,eo,,,,,
Estonian,et,ET,Estonian,FALSE,,
Ewe,ee,,,,,
Filipino (Tagalog),fil,,,,,
Finnish,fi,FI,Finnish,FALSE,,
French,fr,FR,French,TRUE,,
Frisian,fy,,,,,
Galician,gl,,,,,
Georgian,ka,,,,,
German,de,DE,German,TRUE,,
Greek,el,EL,Greek,FALSE,,
Guarani,gn,,,,,
Gujarati,gu,,,,,
Haitian Creole,ht,,,,,
Hausa,ha,,,,,
Hawaiian,haw,,,,,
Hebrew,he ,,,,,
Hindi,hi,,,,,
Hmong,hmn,,,,,
Hungarian,hu,HU,Hungarian,FALSE,,
Icelandic,is,,,,,
Igbo,ig,,,,,
Ilocano,ilo,,,,,
Indonesian,id,ID,Indonesian,FALSE,,
Irish,ga,,,,,
Italian,it,IT,Italian,TRUE,,
Japanese,ja,JA,Japenese,FALSE,,
Javanese,jv,,,,,
Kannada,kn,,,,,
Kazakh,kk,,,,,
Khmer,km,,,,,
Kinyarwanda,rw,,,,,
Konkani,gom,,,,,
Korean,ko,KO,Korean,FALSE,,
Krio,kri,,,,,
Kurdish,ku,,,,,
Kurdish (Sorani),ckb,,,,,
Kyrgyz,ky,,,,,
Lao,lo,,,,,
Latin,la,,,,,
Latvian,lv,LV,Latvian,FALSE,,
Lingala,ln,,,,,
Lithuanian,lt,LT,Lithuanian,FALSE,,
Luganda,lg,,,,,
Luxembourgish,lb,,,,,
Macedonian,mk,,,,,
Maithili,mai,,,,,
Malagasy,mg,,,,,
Malay,ms,,,,,
Malayalam,ml,,,,,
Maltese,mt,,,,,
Maori,mi,,,,,
Marathi,mr,,,,,
Meiteilon (Manipuri),mni-Mtei,,,,,
Mizo,lus,,,,,
Mongolian,mn,,,,,
Myanmar (Burmese),my,,,,,
Nepali,ne,,,,,
Norwegian,no,NB,Norwegian (Bokmål),FALSE,,
Nyanja (Chichewa),ny,,,,,
Odia (Oriya),or,,,,,
Oromo,om,,,,,
Pashto,ps,,,,,
Persian,fa,,,,,
Polish,pl,PL,Polish,TRUE,,
,,PT-BR,Portuguese (Brazilian),TRUE,,
"Portuguese (Portugal, Brazil)",pt,PT-PT,Portuguese (European),TRUE,,
Punjabi,pa,,,,,
Quechua,qu,,,,,
Romanian,ro,RO,Romanian,FALSE,,
Russian,ru,RU,Russian,TRUE,,
Samoan,sm,,,,,
Sanskrit,sa,,,,,
Scots Gaelic,gd,,,,,
Sepedi,nso,,,,,
Serbian,sr,,,,,
Sesotho,st,,,,,
Shona,sn,,,,,
Sindhi,sd,,,,,
Sinhala (Sinhalese),si,,,,,
Slovak,sk,SK,Slovak,FALSE,,
Slovenian,sl,,,,,
Somali,so,,,,,
Spanish,es,ES,Spanish,TRUE,,
Sundanese,su,,,,,
Swahili,sw,,,,,
Swedish,sv,SV,Swedish,FALSE,,
Tagalog (Filipino),tl,,,,,
Tajik,tg,,,,,
Tamil,ta,,,,,
Tatar,tt,,,,,
Telugu,te,,,,,
Thai,th,,,,,
Tigrinya,ti,,,,,
Tsonga,ts,,,,,
Turkish,tr,TR,Turkish,FALSE,,
Turkmen,tk,,,,,
Twi (Akan),ak,,,,,
Ukrainian,uk,UK,Ukrainian,FALSE,,
Urdu,ur,,,,,
Uyghur,ug,,,,,
Uzbek,uz,,,,,
Vietnamese,vi,,,,,
Welsh,cy,,,,,
Xhosa,xh,,,,,
Yiddish,yi,,,,,
Yoruba,yo,,,,,
Zulu,zu,,,,,
